Company,Title,Location,URL,Source,Posted,First seen,Description,Match status
Anthropic,"Applied AI Architect, Startups","London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5432573008,greenhouse-api,2026-09-23,2026-09-23,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role As a Solutions Architect on the Startups Applied AI team at Anthropic, you will win the trust of founders and engineers by being an exceptional technical partner, helping startups successfully build on the Claude Developer Platform as they grow from early product to scale. You'll combine deep technical expertise with a builder-first mindset to help startups architect innovative LLM solutions, win technical evaluations, and get the most out of Claude. Working closely with Account Executives and the broader Sales, Product, and Engineering teams, you'll guide startups from initial technical discovery through successful deployment and beyond. You'll leverage your expertise to help founders understand Claude's capabilities, develop evals, and design architectures that maximize the value of our AI systems. Responsibilities: Partner with Account Executives to deeply understand startup requirements, translate them into technical solutions, and serve as a trusted technical advisor throughout the Claude adoption journey from initial evaluation through deployment and expansion Win technical evaluations that demonstrate why Claude is the best foundation for what startups are building, helping them develop evaluation frameworks to measure Claude's performance for their specific use cases Build technical credibility with founders, founding engineers, and startup engineering teams by speaking their language, understanding their build patterns, and guiding technical architecture decisions Gather insights on how startups are building with Claude, identify emerging use cases and deployment patterns, and deliver feedback to Product and Engineering teams Travel to customer sites, startup-focused events, and industry conferences for workshops, technical deep dives, and relationship building You may be a good fit if you have: 5+ years of experience in technical customer-facing roles such as Solutions Architect, Sales Engineer, Forward Deployed Engineer, or technical founder who has done founder-led sales Experience working with startups or high-growth technology companies; you understand the velocity and constraints of early-stage companies Strong builder credibility through experience as a software engineer or technical founder; you speak the language of builders and have the presence to earn the trust of technical founders and startup engineering teams Deep technical proficiency with building and scaling AI products, a pulse on AI engineering best practices, and the ability to demonstrate why Claude is the best foundation Hands-on experience building and deploying LLM-powered applications in production, with expertise in context engineering, evaluation frameworks, and modern AI architectures Strong technical communication skills with the ability to translate complex AI concepts into actionable insights for founders and engineering teams Track record of selling technical products in competitive markets Comfortable with Python and familiarity with common LLM frameworks, tools, and integration patterns Passion for making powerful technology safe and societally beneficial The annual compensation range for this role is listed below. For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses target and annual base salary for the role. Annual Salary: £165,000 — £190,000 GBP Logistics Minimum education: Bachelor’s degree or an equivalent combination of education, training, and/or experience Required field of study: A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will correlate with the internal job level requirements for the position Location-based hybrid policy: Currently, we expect all staff to be in one of our offices at least 25% of the time. However, some roles may require more time in our offices. Visa sponsorship: We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate. But if we make you an offer, we will make every reasonable effort to get you a visa, and we retain an immigration lawyer to help with this. We encourage you to apply even if you do not believe you meet every single qualification. Not all strong candidates will meet every single qualification as listed. Research shows that people who identify as being from underrepresented groups are more prone to experiencing imposter syndrome and doubting the strength of their candidacy, so we urge you not to exclude yourself prematurely and to submit an application if you're interested in this work. We think AI systems like the ones we're building have enormous social and ethical implications. We think this makes representation even more important, and we strive to include a range of diverse perspectives on our team. Your safety matters to us. To protect yourself from potential scams, remember that Anthropic recruiters only contact you from @anthropic.com email addresses. In some cases, we may partner with vetted recruiting agencies who will identify themselves as working on behalf of Anthropic. Be cautious of emails from other domains. Legitimate Anthropic recruiters will never ask for money, fees, or banking information before your first day. If you're ever unsure about a communication, don't click any links—visit anthropic.com/careers directly for confirmed position openings. How we're different We believe that the highest-impact AI research will be big science. At Anthropic we work as a single cohesive team on just a few large-scale research efforts. And we value impact — advancing our long-term goals of steerable, trustworthy AI — rather than work on smaller and more specific puzzles. We view AI research as an empirical science, which has as much in common with physics and biology as with traditional efforts in computer science. We're an extremely collaborative group, and we host frequent research discussions to ensure that we are pursuing the highest-impact work at any given time. As such, we greatly value communication skills. The easiest way to understand our research directions is to read our recent research. This research continues many of the directions our team worked on prior to Anthropic, including: GPT-3, Circuit-Based Interpretability, Multimodal Neurons, Scaling Laws, AI & Compute, Concrete Problems in AI Safety, and Learning from Human Preferences. Come work with us! Anthropic is a public benefit corporation headquartered in San Francisco. We offer competitive compensation and benefits, optional equity donation matching, generous vacation and parental leave, flexible working hours, and a lovely office space in which to collaborate with colleagues. Guidance on Candidates' AI Usage: Learn about our policy for using AI in our application process.",medium match
Anthropic,"Applied AI Engineer, Startups","London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5432575008,greenhouse-api,2026-09-23,2026-09-23,"About Anthropic Anthropic’s mission is to create reliable, interpretable, and steerable AI systems. We want AI to be safe and beneficial for our users and for society as a whole. Our team is a quickly growing group of committed researchers, engineers, policy experts, and business leaders working together to build beneficial AI systems. About the role As an Applied AI Engineer at Anthropic, you will be a trusted technical advisor helping tech-forward companies build on the Claude Developer Platform as they grow and scale. You'll lead deep technical engagements, partnering directly with engineering teams to help them develop their products on top of Claude - advising on implementation, agent design, and working alongside them to build at the frontier of AI. Working closely with Applied AI Architects, Account Executives, and Anthropic's Product and Engineering teams, you'll guide customers through deep technical engagements. You'll leverage your AI engineering expertise to develop custom evaluation frameworks, design scalable architectures, and create the technical resources that enable tech-forward businesses to succeed with Claude. Responsibilities Serve as a deep technical advisor to high-growth, tech-forward companies, working alongside them to build innovative use cases that push the boundaries of AI Work hands-on with customer engineering teams: pair programming, architecture reviews, and code contributions that accelerate their development Develop prototypes and technical documentation—including evaluation suites, AI engineering techniques, and architecture diagrams—that enable customers to build and scale with Claude Collaborate closely with Applied AI Architects to maintain context and continuity across customer engagements Identify patterns across engagements and contribute insights back to Product, Engineering, and the broader Applied AI team Create technical content for developer audiences including documentation, tutorials, and sample code Foster community engagement through hackathons, webinars, technical office hours, and developer-focused events Travel to customer sites for workshops, implementation support, and relationship building You may be a good fit if you have 4+ years of experience as a Software Engineer, Forward Deployed Engineer, or technical founder Experience in a customer-facing or pre-sales technical role - partnering with customers to scope, design, and deliver solutions Production experience building LLM-powered applications, including prompting, context engineering, agent architectures, evaluation frameworks, and deployment at scale Strong programming skills with proficiency in Python and experience building production applications Experience working with high-growth, tech-forward companies Ability to context-switch across industries (healthcare, fintech, etc.) and use cases Builder credibility that earns trust with technical founders and engineering leaders - you've shipped products and can speak from experience Strong technical communication skills with the ability to translate complex AI concepts into architectural decisions and actionable implementation plans Experience facilitating technical workshops, hackathons, or developer-focused events Passion for making powerful technology safe and beneficial The annual compensation range for this role is listed below. For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses target and annual base salary for the role. Annual Salary: £225,000 — £255,000 GBP Logistics Minimum education: Bachelor’s degree or an equivalent combination of education, training, and/or experience Required field of study: A field relevant to the role as demonstrated through coursework, training, or professional experience Minimum years of experience: Years of experience required will correlate with the internal job level requirements for the position Location-based hybrid policy: Currently, we expect all staff to be in one of our offices at least 25% of the time. However, some roles may require more time in our offices. Visa sponsorship: We do sponsor visas! However, we aren't able to successfully sponsor visas for every role and every candidate. But if we make you an offer, we will make every reasonable effort to get you a visa, and we retain an immigration lawyer to help with this. We encourage you to apply even if you do not believe you meet every single qualification. Not all strong candidates will meet every single qualification as listed. Research shows that people who identify as being from underrepresented groups are more prone to experiencing imposter syndrome and doubting the strength of their candidacy, so we urge you not to exclude yourself prematurely and to submit an application if you're interested in this work. We think AI systems like the ones we're building have enormous social and ethical implications. We think this makes representation even more important, and we strive to include a range of diverse perspectives on our team. Your safety matters to us. To protect yourself from potential scams, remember that Anthropic recruiters only contact you from @anthropic.com email addresses. In some cases, we may partner with vetted recruiting agencies who will identify themselves as working on behalf of Anthropic. Be cautious of emails from other domains. Legitimate Anthropic recruiters will never ask for money, fees, or banking information before your first day. If you're ever unsure about a communication, don't click any links—visit anthropic.com/careers directly for confirmed position openings. How we're different We believe that the highest-impact AI research will be big science. At Anthropic we work as a single cohesive team on just a few large-scale research efforts. And we value impact — advancing our long-term goals of steerable, trustworthy AI — rather than work on smaller and more specific puzzles. We view AI research as an empirical science, which has as much in common with physics and biology as with traditional efforts in computer science. We're an extremely collaborative group, and we host frequent research discussions to ensure that we are pursuing the highest-impact work at any given time. As such, we greatly value communication skills. The easiest way to understand our research directions is to read our recent research. This research continues many of the directions our team worked on prior to Anthropic, including: GPT-3, Circuit-Based Interpretability, Multimodal Neurons, Scaling Laws, AI & Compute, Concrete Problems in AI Safety, and Learning from Human Preferences. Come work with us! Anthropic is a public benefit corporation headquartered in San Francisco. We offer competitive compensation and benefits, optional equity donation matching, generous vacation and parental leave, flexible working hours, and a lovely office space in which to collaborate with colleagues. Guidance on Candidates' AI Usage: Learn about our policy for using AI in our application process.",top match
Emponics,AI Deployment Engineer,"Monument, Central London",https://www.adzuna.co.uk/jobs/land/ad/5894917693?se=qjf44j238RGf_djUbW4fNA&utm_medium=api&utm_source=dc96cb17&v=D929D320332AAA099E72E506E0F21CB37F94AD42,adzuna-api,2026-09-23,2026-09-23,"Our client is a Global FinTech with offices around the world inc Bristol and London in the UK .This AI Deployment Engineer role can be based out of Bristol or London offices.Ideally 3 days per week in the office but could be a little bit more flexible for the ideal candidate.

- AI Deployment Engineer
- Location: Bristol/London - Hybrid, 3 days in the office
- Salary: to £130,000 p/a dependent on experience + excellent benefits

You will be the deep technical engine behind their internal AI deployment team. Where the AI Deployment Strategist scopes and builds agents, you own the infrastructure underneath data pipelines, system integrations, and everything that ensures deployed AI solutions work reliably at scale.

You will take prototypes to production, ensure all business systems communicate correctly, and build the technical backbone that our AI tooling depends on.
Job Responsibilities
Own the data infrastructure underpinning AI deployments pipelines, storage, and data serving
Integrate AI solutions into the existing business ecosystem: CRMs, ERPs, SaaS tools, and internal systems
Build and maintain APIs, webhooks, and middleware that allow AI agents to interact with business systems
Take Strategist-built prototypes to production-grade hardening, scaling, and ensuring reliability
Set up monitoring, logging, and alerting across deployed pipelines and agent infrastructure
Manage data models, schemas, and storage supporting current and future AI deployments
Troubleshoot integration failures, data inconsistencies, and production issues
Key Skills
Python & SQL (production-grade pipeline development)
REST APIs, webhooks, OAuth, event-driven architecture
Orchestration tools: Airflow, Prefect, or Dagster
Cloud platforms: AWS, GCP, or Azure
Docker & Kubernetes Microsoft 365 & Microsoft Copilot
Desirable Skills
Vector databases and embedding pipelines
Real-time streaming (Kafka, Flink)
RPA tooling (UiPath, Power Automate) dbt for data transformation
Claude Code, Claude Cowork, or Claude Skills
Experience with vector databases, real-time streaming (Kafka, Flink), or RPA tooling (UiPath, Power Automate).
Experience
35 years in software or data engineering with strong exposure to system integrations, data pipelines, and production infrastructure.
Strong Python and SQL skills; experienced building robust, production-grade data pipelines from scratch.
Deep familiarity with integration patterns: REST APIs, webhooks, OAuth, and event-driven architectures.
Experience with orchestration tools (Airflow, Prefect, or Dagster) and transformation frameworks (dbt or similar).
Comfortable across cloud platforms (AWS, GCP, or Azure) and with containerisation (Docker, Kubernetes).
Experience connecting disparate business systems SaaS platforms, internal databases, and third-party APIs and making them work reliably.
Strong debugging instincts and a high bar for reliability and data integrity.
Comfortable with Microsoft 365 and Microsoft Copilot. Familiarity with AI productivity tools including Claude Code, Claude Cowork, and Claude Skills is a plus.
Qualifications
Bachelor's degree in Computer Science, Engineering, or equivalent practical experience",top match
Encord,Machine Learning Engineer,London,https://jobs.ashbyhq.com/encord/e60834b1-ded8-4aa3-9ab7-bfa79faec78a,ashby-api,2026-09-23,2026-09-23,"About us

Encord is the universal data layer for AI that helps 300+ AI teams train and run models on the right data. Our platform indexes, curates, annotates, and evaluates data across the full AI lifecycle, from development through production. Trusted by Woven by Toyota, AXA, UiPath, Zipline, and more.

We're an ambitious team of 100+ working at the frontier of AI and have raised $60M in Series C funding from Wellington Management, CRV, Next47 and Y Combinator.

The role

We're looking for a Senior Machine Learning Engineer to own how we bring state-of-the-art computer vision and multimodal models into a production platform used by hundreds of AI teams worldwide. You'll take ambiguous, often unsolved problems, decide how to approach them, and see them through from research to reliable, scalable features in production

You'll work closely with product, engineering and our human data team, and have real influence over our ML roadmap, technical direction and how the team grows. If you want ownership, scope and the chance to set the bar for ML engineering at a fast-growing company, we'd love to talk.

What you'll do

- Own ML initiatives end-to-end, from scoping and model selection through deployment, monitoring and iteration in production

- Evaluate and adapt the latest models (e.g. foundation models, VLMs, segmentation and tracking models), and decide what's worth bringing into the platform

- Tackle open-ended statistical, geometric and algorithmic problems where there's no playbook

- Design ML systems and pipelines that scale across large, multimodal datasets and hundreds of customers

- Partner with product and engineering leads to shape the ML roadmap and turn customer needs into technical direction

- Set engineering standards, lead design reviews and mentor other engineers

- Play an active role in hiring and building out the ML team

- Work with Python, PyTorch, OpenCV, CUDA, Kubernetes and GCP/AWS

Who we're looking for

- An owner. You take ambiguous problems, define the approach and drive them to production without needing a detailed spec.

- A pragmatist. You know when to reach for the latest research and when a simpler solution will do, and you can explain the trade-offs.

- A multiplier. You raise the bar for those around you through mentoring, reviews and clear communication.

- A customer champion. You care about how your work lands with real users, not just offline metrics.

Experience requirements

- 5+ years in ML engineering (or 5+ with a relevant PhD), including shipping and maintaining models in production at scale

- Deep experience in computer vision and PyTorch, with hands-on work on modern architectures (transformers, foundation models)

- A track record of leading technically complex projects from idea to production

- A strong grounding in maths, algorithms and applied ML

- Experience with production ML infrastructure, such as model serving, GPU optimisation and distributed training

- Bonus: multimodal data (video, 3D/LiDAR, medical imaging), active learning or data-centric AI

Why Encord

- Competitive salary and meaningful equity in a high-growth startup

- Strong in-person culture — most of the team works from our London office 4+ days/week

- 25 days annual leave + UK public holidays

- Annual learning & development budget

- Travel for customer visits, events, and conferences across the UK and Europe

- Daily company lunches

- Monthly socials & bi-annual team offsites",medium match
Hackajob Ltd,Data Scientist,"Norton, Sheffield",https://www.adzuna.co.uk/jobs/land/ad/5894413751?se=pHO25D238RGf_djUbW4fNA&utm_medium=api&utm_source=dc96cb17&v=95FFC76B71EE82F1DB83AE2E90354ECFA0C80BE3,adzuna-api,2026-09-23,2026-09-23,"hackajob is partnering directly with HSBC to hire for this role.
If youre looking for a career that will help you stand out, join HSBC, and fulfil your potential - whether you want a career that could take you to the top, or an exciting new direction, we offer opportunities, support and rewards that will take you further. Were one of the largest banking and financial services organisations in the world, with a network that covers more than 50 countries and territories. We aim to be where the growth is, enabling businesses to thrive and economies to prosper, and, ultimately, helping people fulfil their hopes and realise their ambitions. Were currently seeking an experienced professional to join our Financial Crime Risk team in the role of Technical Delivery Lead. Youll deliver leadership and hands-on Agentic AI engineering in Financial Crime Riskdriving end-to-end, production-grade AI solutions from governance and senior decision-making through to LLM/agent workflow design, evaluation, observability, and hypercare, ensuring solutions are adopted in investigations and meet regulated-bank standards. As an HSBC employee in the UK, youll have access to tailored professional development opportunities and a competitive pay and benefits package. This includes private healthcare for all UK-based employees, enhanced maternity and adoption pay and support when you return to work, and a contributory pension scheme with a generous employer contribution. In this role youll: -Lead end-to-end delivery of production-grade AI and Agentic AI solutions for financial crime risk detection and investigation -Contribute to solution design and build where needed, including: LLM/agent workflow design (tool use, orchestration, guardrails, human-in-the-loop patterns) API/service integration into alerting, case management, and investigator workflows -Evaluation harnesses (golden datasets, regression tests, red-teaming scenarios, offline metrics) -Drive execution across engineering, ML engineering/data science, product, operations, compliance, model risk, architecture, cyber security, and technology controls -Create clear decision packs (options and trade-offs across risk/cost/time/value) and steer stakeholders to timely decisions -Manage releases through build, test, deployment, and hypercare (track benefits and outcomes) To be successful in this role you should meet the following requirements: -Proven delivery leadership for complex technology initiatives in regulated environments -Financial Crime Risk domain experience (AML/sanctions/fraud/investigations) with evidence of operational adoption -Hands-on experience delivering AI solutions to production (GenAI/LLM and/or agentic patterns) with measurable operational outcomes -Strong technical grounding in several of: Python (and/or JVM languages), REST/gRPC APIs, microservices Containers/Kubernetes, CI/CD, release management -SQL and data integration patterns (batch/stream), data quality controls -LLM/agent patterns: prompt/version management, tool/function calling, RAG, safety guardrails -Observability and production support (logging/metrics/tracing, incident triage) Opening up a world of opportunity. Being open to different points of view is important for our business and the communities we serve. At HSBC, were dedicated to creating diverse and inclusive workplaces - no matter their gender, ethnicity, disability, religion, sexual orientation, socio-economic background or age. We are committed to removing barriers and ensuring careers at HSBC are inclusive and accessible for everyone to be at their best. We take pride in being a Disability Confident Leader and will offer an interview to people with disabilities, long term conditions or neurodivergent candidates who meet the minimum criteria for the role. If you have a need that requires accommodations or changes during the recruitment process, please get in touch with our Recruitment Helpdesk via .",medium match
Lynx Recruitment Limited,Senior AI Engineering Consultant,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/land/ad/5894908137?se=6IcQ4j238RGC4YytmZ486A&utm_medium=api&utm_source=dc96cb17&v=690FAF4A49A9B0859C399957C8F7FCD42E147DA3,adzuna-api,2026-09-23,2026-09-23,"We're supporting a leading technology consultancy that is expanding its AI practice and is looking for a Senior AI Engineering Consultant to help deliver innovative AI-powered solutions for enterprise clients.
This is an opportunity to work at the forefront of Generative AI, partnering with organisations to design, build and deploy cutting-edge solutions across Azure, AWS and GCP.
We're looking for someone with a genuine passion for AI who combines strong consulting experience with a software engineering background and the ability to turn technical innovation into real business value.
The Role You'll work closely with clients to define AI strategies, build proof-of-concepts, develop scalable solutions and lead technical delivery across a range of AI and cloud projects.
Responsibilities will include:

- Designing and delivering Generative AI and Machine Learning solutions
- Building applications using LLMs, RAG frameworks and AI orchestration tools
- Working directly with clients to understand business challenges and define AI-driven solutions
- Leading architecture and engineering decisions across Azure, AWS and GCP
- Developing scalable, production-ready software solutions
- Implementing engineering best practices including CI/CD, testing and deployment automation
- Evaluating emerging AI technologies and identifying opportunities for innovation
- Mentoring engineers and providing technical leadership across project teams
- Supporting workshops, discovery sessions and technical pre-sales activities
What We're Looking ForEssential Requirements
- Proven experience working within an IT Consultancy, Technology Consultancy or Professional Services environment
- Strong hands-on experience with Generative AI and modern AI technologies
- Commercial experience building AI-powered applications and deploying them into production
- Software Engineering or Product Engineering background
- Strong Python development skills
- Experience working with LLMs, RAG architectures and modern AI frameworks
- Multi-cloud experience across Azure, AWS and GCP
- Strong understanding of cloud-native architectures and scalable application design
- Experience with CI/CD, Infrastructure as Code and automated deployment pipelines
- Excellent communication and stakeholder management skills
- Ability to engage with both technical and non-technical audiences
Education
- Degree in Computer Science, Software Engineering, Information Technology, Artificial Intelligence, Data Science, or a related technology discipline
- Minimum 2:1 degree classification (or equivalent)
Desirable
- Azure OpenAI, AWS Bedrock and Google Gemini experience
- MLOps, Data Engineering or Platform Engineering experience
- Experience leading technical teams
- Knowledge of Agentic AI, AI Agents and emerging AI frameworks
What's On Offer?
- Opportunity to work on high-profile AI transformation projects
- Exposure to the latest AI technologies and enterprise-scale environments
- Career progression into technical leadership and AI consulting roles
- Collaborative and innovation-focused culture
- Flexible hybrid working model
If you're passionate about AI, enjoy solving complex business problems and have a strong foundation in software engineering and cloud technologies, we'd love to hear from you.
Apply now or contact Paul Clarke at Lynx Recruitment for a confidential discussion.",medium match
RemoteJobsOne,AI Engineer,"London, UK",https://www.adzuna.co.uk/jobs/details/5894631409?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-23,2026-09-23,"This is a fully remote position , open to candidates based in United Kingdom.
Pay: $60–$120/hr
Job Title: AI Engineer
Job Type: Contractor (~15 hrs a week)
Location: Remote
Schedule: Flexible, you pick the hours and days (including weekends if desired)
Job Summary: In this role, you'll apply your expertise to help train next-generation AI systems. Your work will shape how models learn, reason, and perform through high-quality, real-world input. No prior experience in AI is required — your domain knowledge is what matters.
As an expert you will be creating Reinforcement Learning Environments which test an AI model’s ability to solve complex software engineering problems using Model Context Protocol (MCP) tools. Tasks may involve fixing bugs, implementing features, refactoring code, or optimizing performance while requiring agents to discover and reason over information from real MCP servers. You will design reproducible environments, deterministic verification, and golden reference solutions that accurately measure both MCP tool use and software engineering ability.
Required Skills and Qualifications:

- Proficiency in C++, Python, JAVA, GoLang, Typescript, or Rust.
- Deep understanding of algorithms, data structures, and performance tuning.
- Demonstrated experience in debugging complex software issues and delivering maintainable solutions.
- Strong background in feature development and codebase refactoring.
- Proven ability to optimize software for performance and scalability.
- Exceptional written and verbal communication skills, with a keen attention to detail.
- Track record of success in collaborative, cross-functional teams, ideally in remote settings.
Preferred Qualifications:

- Previous experience working on large-scale, distributed codebases.
- Familiarity with modern AI or machine learning systems is a plus, though not required.
- Background in participating in rigorous code reviews and contributing to the development of software best practices.
Process:

- Apply to the role, filling out the screening questions
- Complete AI Interview (approx. 30 minutes)
- Technical Assessment (Tentative)
- Hiring Manager review
Compensation Structure
Compensation is output-based; experts are paid per task that meets the project specifications. The time required to complete work may vary depending on the expert’s experience and workflow. Minimum submission requirements apply. Experts must submit a minimum of tasks per week.
Start Timeline & Availability
We typically fill roles within 48 hours and are looking for experts ready to jump in right away. If selected, we expect you to start your first tasks within 24–48 hours of completing onboarding.
How to apply
Apply here with your Indeed profile. We will then email you a link to complete your application on the hiring platform — your application is only considered once that final step is done.",top match
RemoteJobsOne,Forward Deployed Engineer,"London, UK",https://www.adzuna.co.uk/jobs/details/5894631525?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-23,2026-09-23,"This is a fully remote position , open to candidates based in United Kingdom. Pay: $300,000–$650,000/yr Job Title: Forward Deployed Engineer Job Type: Full-time Location : Remote / Travel-required The Role We’re hiring a Forward Deployed Engineer to work directly with the world’s leading AI labs and enterprises as a technical research and implementation partner. This role sits at the intersection of applied AI, ML infrastructure, data intelligence, and partner-facing product development. You’ll…",top match
Vbeyond,Data Science Consultant,London,https://www.reed.co.uk/jobs/data-science-consultant/57382368,reed-api,2026-09-23,2026-09-23,"Role: Data Science Consultant
Location: London, UK
Type: FTE
Mode: Hybrid

Role Overview
We are seeking a highly consultative Data Science Consultant with strong insurance industry experience. The role requires a blend of business consulting and hands-on delivery, with approximately 60% of time spent engaging with business stakeholders and 40% spent building and delivering data science and AI solutions .

Key Responsibilities Business Consulting (60%)

- Engage with business stakeholders to understand strategic objectives, challenges, and opportunities.
- Facilitate discovery workshops and requirements-gathering sessions.
- Translate business problems into data science, AI, and analytics use cases.
- Present solution approaches, prototypes, and recommendations to business and executive stakeholders.
- Act as a trusted advisor, helping clients prioritise initiatives and define measurable business outcomes.
- Work closely with underwriting, claims, pricing, risk, and customer operations teams.
- Drive adoption of AI and analytics solutions through effective stakeholder management and communication.
Solution Development (40%)

- Design and develop predictive, machine learning, and Generative AI solutions.
- Build prototypes, proof-of-concepts, and production-ready analytical models.
- Perform data exploration, feature engineering, model development, and validation.
- Collaborate with data engineers and architects to operationalise solutions.
- Ensure solutions follow Responsible AI, governance, and security best practices.
- Support deployment, monitoring, and continuous improvement of models.
Required Experience

- 10+ years of experience in Data Science, AI, Machine Learning, or Advanced Analytics.
- Demonstrable experience working within the Insurance industry .
- Strong understanding of insurance domains such as Claims, Underwriting, Pricing, Risk, Policy Administration, or Customer Experience.
- Experience leading business discussions and consulting engagements.
- Ability to communicate complex technical concepts to non-technical audiences.
- Strong stakeholder management and presentation skills.
Technical Skills

- Python, SQL, and modern data science toolsets.
- Machine Learning and Predictive Analytics.
- Generative AI, LLMs, RAG, and Agentic AI frameworks.
- Azure AI Foundry, Azure OpenAI, Azure Machine Learning, Databricks, or equivalent cloud platforms.
- Data visualisation and storytelling tools such as Power BI.
- MLOps and model lifecycle management.
Preferred Qualifications

- Experience in client-facing consulting roles.
- Exposure to cloud-based AI and analytics platforms.
- Understanding of Responsible AI and governance frameworks.
- Relevant certifications in Azure AI, Data Science, or Cloud technologies.
Success Profile

- Strong communicator who can influence business stakeholders.
- Equally comfortable in boardroom discussions and hands-on solution development.
- Able to bridge business strategy and technical implementation.
- Passionate about using AI and data science to solve complex insurance business challenges.",medium match
Vbeyond,Oracle AI Functional Architect,London,https://www.reed.co.uk/jobs/oracle-ai-functional-architect/57382503,reed-api,2026-09-23,2026-09-23,"Role Overview We are seeking an experienced Oracle AI Functional Architect to design, develop and deploy Generative AI and Agentic AI solutions across Oracle Fusion Cloud Applications.
The role requires strong hands-on experience with Oracle Fusion AI Agent Studio , Oracle Fusion REST APIs, API security and enterprise integrations. The successful candidate will work across Oracle Fusion applications such as ERP, HCM and SCM, integrating AI capabilities and agentic workflows into existing enterprise environments.
Key Responsibilities
- Design, develop and deploy intelligent agents using Oracle Fusion AI Agent Studio .
- Build and implement Agentic AI workflows and solutions .
- Integrate Generative AI and agentic capabilities with Oracle Fusion Applications.
- Use Oracle Fusion REST APIs for data exchange and system integration.
- Integrate and consume GenAI services through enterprise APIs.
- Design secure API integrations using appropriate authentication and security mechanisms.
- Apply OAuth, JWT and API Gateway policies to protect integrations.
- Work across Oracle Fusion applications including ERP, HCM and SCM .
- Design and implement complex integrations between enterprise systems.
- Gather requirements and translate business needs into technical AI solutions.
- Define technical specifications and architecture for AI-enabled solutions.
- Provide technical guidance on Oracle Fusion capabilities and AI integration strategies.
- Troubleshoot and optimise AI models and integrations for performance and reliability.
- Support GenAI model prompt engineering and fine-tuning activities.
Required Skills
- Hands-on experience with Oracle Fusion AI Agent Studio .
- Experience building and deploying AI agents / Agentic AI systems .
- Strong Oracle Fusion REST API experience.
- Experience integrating and consuming Generative AI services .
- Strong knowledge of API security , including OAuth and JWT.
- Experience with API Gateway policies .
- Strong understanding of Oracle Fusion Applications architecture .
- Experience across Oracle Fusion ERP, HCM and/or SCM .
- Strong understanding of Generative AI and LLM concepts .
- Experience with prompt engineering and/or model fine-tuning.
- Experience designing complex enterprise integrations .
- Strong solution architecture and technical design skills.
- Experience troubleshooting and optimising AI integrations.
Eligibility
- Ability to work remotely within the UK.
- Willingness to travel occasionally to Birmingham/London .",low match
