Company,Title,Location,URL,Source,Posted,First seen,Description,Match status
Exalto Consulting ltd,Senior AI Engineer/Scientist - Remote (UK) - Outside IR35,UK,https://www.adzuna.co.uk/jobs/details/5894314108?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-22,2026-09-23,"Senior AI Engineer/Scientist Contract (Outside IR35) Remote Until end of Dec 2026 (Initial, likely extensions) Competitive rate (DOE) About the Role Exalto Consulting are supporting a leading digital health and technology organisation in the search for an experienced Senior AI Engineer/Scientist . This is a senior, hands-on role focused on designing and building production-grade agentic AI systems for the structured authoring of clinical study documents. You will develop end-to-end, multi-agent…",medium match
Experis,Machine Learning Engineer,UK,https://www.adzuna.co.uk/jobs/land/ad/5893555230?se=QOO64z238RGf_djUbW4fNA&utm_medium=api&utm_source=dc96cb17&v=FD9BF40973ECCEB4BA8F7BA9DB2CDCC9CA48855D,adzuna-api,2026-09-22,2026-09-23,"Machine Learning Engineer

Rate: £770 per day (Inside IR35)
Location: Osterley, West London (Hybrid - 2 days per week onsite)
Clearance Required: BPSS

The Opportunity

We're looking for an experienced Machine Learning Engineer to join a high-performing data and AI team, focused on building and deploying machine learning solutions that deliver highly personalised user experiences at scale.
This is an exciting opportunity to work on cutting-edge recommendation systems, ranking models, user segmentation, and content analysis capabilities, helping to drive data-driven decision-making and product innovation.

Key Responsibilities

Machine Learning Development

- Design, build, train, and optimise machine learning models focused on personalisation and recommendation systems.
- Develop solutions covering:
- Recommendation Engines
- Ranking Algorithms
- User Segmentation
- Content Analysis

- Evaluate and improve model accuracy, performance, and scalability.

Data Engineering & Feature Development

- Develop and maintain scalable data pipelines to support model training and feature engineering.
- Work with structured and unstructured datasets at scale.
- Ensure data quality, reliability, and efficient processing across the ML lifecycle.

Production Deployment & Monitoring

- Deploy machine learning models into production environments.
- Monitor performance, availability, and model effectiveness over time.
- Implement processes to support model retraining and continuous improvement.

Experimentation & Optimisation

- Design and analyse A/B tests and offline experiments.
- Measure model effectiveness and user outcomes.
- Use insights to drive ongoing optimisation and product improvements.

Collaboration & Innovation

- Partner with Product, Engineering, Data Science, and Business teams to align machine learning initiatives with strategic goals.
- Stay up to date with emerging developments in machine learning, deep learning, and personalisation technologies.
- Identify opportunities to introduce innovative approaches and improve existing solutions.

Essential Skills & Experience

- Strong commercial experience as a Machine Learning Engineer .
- Experience designing and deploying machine learning models in production environments.
- Proven expertise in:
- Recommendation Systems
- Personalisation Models
- Ranking Algorithms
- User Behaviour Analysis

- Strong Python development skills and experience with machine learning frameworks.
- Experience building scalable data pipelines and feature engineering processes.
- Knowledge of experimentation methodologies, including A/B testing.
- Experience handling large-scale structured and unstructured datasets.
- Strong understanding of MLOps, model deployment, monitoring, and lifecycle management.
- Excellent communication and stakeholder engagement skills.

Desirable Skills

- Experience with deep learning frameworks such as TensorFlow or PyTorch.
- Experience working with cloud-based data and ML platforms.
- Exposure to real-time recommendation systems and large-scale personalisation products.
- Experience within customer-facing digital or media environments.

If you receive suspicious outreach claiming to be from us, please contact us via the ManpowerGroup website.",medium match
Hackajob Ltd,AI Engineer,"South West London, London",https://www.adzuna.co.uk/jobs/details/5894312487?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-22,2026-09-23,"hackajob is partnering directly with Solirius Reply to hire for this role.
About us:
Solirius Reply, part of the Reply Group, delivers technical consultancy and application delivery to our clients in order to solve real world problems and allow our clients to respond to an ever-changing technical landscape. We partner closely with our clients, embedding our consultants into their businesses and providing a bespoke service, allowing us to truly understand our clients needs.
It is this close collaboration with our clients that has enabled us to grow rapidly in recent years and will drive our ambitious future growth plans. We currently have over 300 consultants working with a variety of clients from both the public and private sectors, such as the Ministry of Justice, Department for Education, FCDOS, UEFA, International Olympic Committee and Mercedes Benz.
We operate as a flat organisation and believe in trusting and supporting our team to operate independently. We pride ourselves on being specialists at what we do, making the most of our consultants expertise in their fields to provide a best-in-class service to our clients. All our consultants have opportunities to work on a range of different projects, providing a broad range of knowledge on which to develop their careers and progress in the direction they choose.
About you:
You are a motivated and adaptable professional with a strong analytical mindset and a passion for using technology to solve real-world problems. You enjoy working in collaborative, agile teams and take pride in delivering high-quality solutions that make a tangible impact. With strong communication skills and a consultative approach, youre comfortable engaging with clients, understanding their needs, and translating them into effective outcomes. You understand and align with Solirius Reply Values.
The Role:
We are looking for an experienced AI Engineer to join our team here at Solirius. You will join a multidisciplinary practice comprising Data Scientists, Data Engineers, and Software Engineers, developing and delivering exciting projects with a fantastic team of technology experts.
Your primary focus will be designing, architecting, and deploying robust AI solutions and pipelines that enable advanced analysis and Generative AI capabilities, often in highly regulated environments. Either drawing on existing expertise, or with some development, you will be capable of advancing further to design complex, multi-agentic systems that solve real-world problems.
Additionally, you will act as a technical champion for modern development practices, utilising and coaching others on AI-assisted and agentic coding techniques to elevate our, and our clients, engineering velocity.
Requirements
Key Responsibilities:

- Core AI Solution Design: Design, build, and maintain scalable AI architectures and pipelines that support business requirements, ranging from predictive modelling to Generative AI applications.
- LLM Integration: Operationalise Large Language Models (e.g., GPT, Llama, Mistral) and NLP workflows (BERT, topic modelling) for production environments.
- Agentic & Multi-Agent Systems: Design and orchestrate autonomous agentic workflows (using frameworks like LangChain, AutoGen, or CrewAI) that can reason, plan, and execute tasks across multiple tools.
- Production Engineering: Work collaboratively with Data Engineers to ensure model deployments are supported by robust data storage, vector databases, and cloud infrastructure.
- AI-Assisted Development (AICA): Act as a practitioner and mentor for AI-assisted coding. You will champion the use of tools (e.g., Claude Code, Cursor, Copilot) and help upskill internal teams and clients on agentic coding workflows.
- Advisory & Strategy: Provide technical consulting on AI product development, helping clients understand the distinction between standard ML and agentic AI.
- Continuous Learning: Stay updated with the latest trends in the AI engineering field, such as the modern AI stack, synthetic data generation, and Explainable AI.
Key Skills/Experience:

- Engineering Foundations: Strong proficiency in Python and robust software engineering principles, with experience operating as part of engineering teams.
- Generative AI & RAG: Proven experience working with LLMs and designing Retrieval-Augmented Generation (RAG) architectures, including knowledge of semantic search and vector retrieval.
- AICA Proficiency: Experience using AI-assisted and agentic coding tools to accelerate development, with the ability to articulate and teach these methods to others.
- Consulting Aptitude: Passionate, motivated, and enthusiastic about developing technology solutions with the ability to explain complex AI concepts to non-technical stakeholders.
Bonus Skills/Experience:

- Agentic Systems: Experience designing and orchestrating autonomous agentic workflows (e.g., LangGraph) and managing agent state/memory.
- Cloud: Experience working with cloud infrastructure (Azure, AWS, or GCP).
- Agile Delivery: Experience working in an Agile development environment.
- Data Engineering: Proficiency in SQL and relational databases (e.g., PostgreSQL, DuckDB). Experience with the modern data stack, building data ingestion pipelines and working with ETL and orchestration tools (e.g., Airflow, Luigi, Argo, dbt), big data technologies (Spark, Kafka, Parquet), and web frameworks for model serving (e.g. Flask or FastAPI).
- Data Science: Familiarity or experience with classical NLP techniques (BERT, topic modelling, summarisation), statistical analysis, and knowledge graphs.
- Deep Learning: Familiarity or experience with Deep Learning (TensorFlow, PyTorch).
Benefits
Package and Benefits:

- Competitive Salary
- Bonus Scheme
- Private Healthcare Insurance
- 25 Days Annual Leave + Bank Holidays
- Up to 10 days allocated for development training per year
- Enhanced Parental Leave
- Paid Fertility Leave (5 Days)
- Statutory & Contributory Pension
- EAP with Help@Hand
- Gym Membership Benefits
- Flexible Working
- Annual Away Days/Company Socials
Equality & Diversity:
Solirius Consulting is an equal opportunities employer. We are committed to creating a work environment that supports, celebrates, encourages, and respects all individuals and in which all processes are based on merit, competence and business needs. We do not discriminate on the basis of race, religion, gender, sexuality, age, disability, ethnicity, marital status or any other protected characteristics.
Should you require further assistance or require any reasonable adjustments be put in place to better support your application process, please do not hesitate to raise this with us.",top match
Hackajob Ltd,Senior Lead Software Engineer - LLM Ops Platform Reliability,UK,https://www.adzuna.co.uk/jobs/land/ad/5893792295?se=TKzK5T238RG64cMLsbBlWQ&utm_medium=api&utm_source=dc96cb17&v=46015CDD0C21934DA0A72F9AD50FF8A6B15BE002,adzuna-api,2026-09-22,2026-09-23,"hackajob is partnering directly with JPMorganChase to hire for this role. JOB DESCRIPTION Help shape how AI systems run reliably in production at scale. In this role, you'll build and operate large language model serving infrastructure, bringing strong engineering fundamentals and site reliability practices to cutting-edge AI platforms. You'll work hands-on with cloud and Kubernetes-based deployme",top match
Harnham - Data & Analytics Recruitment,Product Data Scientist,Sheffield,https://www.reed.co.uk/jobs/product-data-scientist/57377099,reed-api,2026-09-22,2026-09-23,"Product Data Scientist
£50,000-£60,000
Sheffield (1 day a week in office)
If you're passionate about turning complex data into actionable business insights, this is an opportunity to make a tangible impact within a growing technology-led organisation. You'll combine analytical discovery, predictive modelling, and stakeholder collaboration to shape product strategy, improve customer outcomes, and influence key business decisions.
THE COMPANY
They are a growing organisation undergoing an exciting phase of data maturity and digital transformation. Their focus is on leveraging data to enhance customer experiences, inform strategic decisions, and drive sustainable growth. Working within a collaborative environment, you will partner closely with data, product, operations, finance, and commercial stakeholders to unlock value from a modern cloud-based data platform.
THE ROLE
As a Product Data Scientist, you will drive product strategy and customer growth through advanced analytics, customer journey insights, and predictive data science in a modern cloud data environment.
Specifically, you can expect to be involved in the following:

- Analyse end-to-end customer and user journeys to identify adoption trends, engagement drivers, and opportunities for growth.
- Conduct exploratory analysis to uncover product usage patterns, conversion drop-offs, and areas for optimisation.
- Build predictive models focused on areas such as customer churn, engagement scoring, demand forecasting, and propensity modelling.
- Develop customer segmentation and behavioural cohorts to support targeted business initiatives.
- Translate complex business questions into structured analytical frameworks, hypotheses, and actionable recommendations.
- Partner with data engineering teams to ensure analytical requirements are embedded within the wider data platform.
- Design dashboards, reporting solutions, and KPI frameworks that support executive and operational decision-making.
SKILLS AND EXPERIENCE
The successful Product Data Scientist will have the following skills and experience:

- Strong commercial experience in Data Science, Product Analytics, or Advanced Analytics environments.
- Advanced SQL skills with experience querying complex cloud-based data warehouses, ideally including Snowflake.
- Expertise in Python or R for statistical analysis, machine learning, and predictive modelling.
- Experience analysing customer journeys, retention, lifecycle metrics, and behavioural data.
- Ability to communicate technical findings clearly to both technical and non-technical stakeholders.
- Experience with BI and visualisation tools such as Power BI, Tableau, Looker, or similar.
- Familiarity with dbt and modern analytics engineering practices is highly desirable.
BENEFITS
The successful Product Data Scientist will receive the following benefits:

- Salary between £50,000 - £60,000 - depending on experience
HOW TO APPLY
Please register your interest by sending your resume to Majid Latif via the Apply link on this page.",medium match
Hays Specialist Recruitment Limited,Machine Learning Engineer,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5894261520?se=QOO64z238RGf_djUbW4fNA&utm_medium=api&utm_source=dc96cb17&v=1609EF42F8D37631AD6E1D53E9AF9E62C406784E,adzuna-api,2026-09-22,2026-09-23,"Your new company
You will be working for a known organisation who are based in West London. The rate is £675 per day inside scope of IR35 and the requirement is to be on-site 2 days a week.

Your new role
Model Development: Design, train, and optimise machine learning models focused on user personalisation, encompassing recommendation engines, ranking algorithms, user segmentation, and content analysis. Data Pipeline Engineering: Construct and maintain robust and scalable data pipelines for feature engineering and model training utilising both structured and unstructured large-scale datasets.
Production Deployment: Deploy and supervise ML models in production environments, ensuring high availability, optimal performance, and continued relevance.
Experimentation: Lead the design and analysis of A/B tests and offline experiments to evaluate model efficacy and support continuous improvement.
Cross-Functional Collaboration: Engage with multidisciplinary teams to align machine learning initiatives with business objectives and user needs.
Research & Innovation: Evaluate emerging research in machine learning, deep learning, and personalisation for potential integration within existing systems.

What you need to do now

If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV.
If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career.

Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found at hays.co.uk",medium match
Microsoft,Data & AI Solution Architect - Digital Natives (EMEA-HQ),"United Kingdom, London, London",https://apply.careers.microsoft.com/careers/job/1970393557002275,microsoft-api,2026-09-22,2026-09-23,"Overview The Software and Digital Platforms team is looking for a Cloud and AI Solution Architect (CSA) to join our EMEA HQ team, with a primary focus on Digital Natives and high growth software companies in the United Kingdom. This role is focused on helping some of the most innovative technology teams build the next generation of AI first data platforms and data enabled applications on Azure. As the primary technical leader for your accounts, you will own the end to end technology strategy, providing overarching visibility across technical workstreams and aligning architecture direction, workload prioritization, and adoption milestones with customer goals and Microsoft Cloud Success metrics. A key focus of the role is helping Digital Natives build the data and intelligence layer required for the AI era. You will guide customers in adopting Microsoft Fabric and the Microsoft IQ platform, including Fabric IQ and Foundry IQ, to connect enterprise data, analytics, AI, and intelligent applications. You will help engineering teams move from traditional data platforms to AI first architectures that power advanced analytics, AI applications, and the next generation of data enabled agentic experiences. You will also work with customers to modernize and scale their existing data estates across relational, NoSQL, and vector databases, while establishing the governance, security, performance, and operational foundations required for AI at scale. As the voice of the customer within Microsoft, you will champion customer technical priorities while collaborating with engineering, product groups, account teams, and partners. You will drive Azure consumption through disciplined technical execution and proactive expansion, while continuously identifying new Data and AI scenarios that create future growth. Microsoft’s mission is to empower every person and every organization on the planet to achieve more. We foster a culture built on a growth mindset, innovation, collaboration, and inclusion. Guided by our values of respect, integrity, and accountability, we create an environment where everyone can thrive, contribute their best work, and make a meaningful impact. Responsibilities Serve as the primary technical leader for strategic Digital Native accounts in the UK, owning the end to end Data and AI technology strategy and aligning technical execution with customer goals and Microsoft Cloud Success metrics. Provide overarching visibility across technical workstreams, owning architecture direction, workload planning, prioritization, and adoption milestones across Data, AI, analytics, and application workloads. Drive adoption of Microsoft Fabric as the foundation for modern Data and AI platforms, helping customers bring together data engineering, analytics, AI, governance, and business intelligence. Architect the intelligence layer using Microsoft Fabric and the Microsoft IQ platform, including Fabric IQ and Foundry IQ, enabling Digital Natives to turn their data into intelligence and build AI powered and agentic experiences. Guide customers through large scale implementations and modernization of relational, NoSQL, distributed, and vector database platforms, helping them scale existing workloads while preparing their data estates for AI. Advise engineering and data leaders on data architecture, performance optimization, governance, security, data quality, and operational excellence required to run AI and data platforms at scale. Drive Azure consumption growth through disciplined delivery and proactive expansion, identifying opportunities across Azure Data, AI, databases, analytics, and application services. Own both immediate consumption value to plan and the staging of new Data and AI scenarios that create future adoption and growth. Launch scalable initiatives including Data and AI ideation sessions, architecture workshops, hackathons, Build to Scale assessments, and production readiness engagements. Act as the voice of the Digital Native within Microsoft, championing customer technical priorities and bringing insights and feedback to Microsoft engineering and product teams. Keep customers current on Microsoft's latest Data and AI innovations and translate new capabilities into tangible product improvements, technical outcomes, and cloud growth. Collaborate across Microsoft engineering, product groups, account teams, and partners to deliver complex Data and AI transformations and accelerate production adoption. Provide technical leadership through executive briefings, architecture reviews, technical workshops, and mentorship across customer and Microsoft communities. Identify common technical patterns and opportunities across Digital Native customers and help develop repeatable architectures, practices, and intellectual property that can scale across the ecosystem. Qualifications Required qualifications: Bachelor's degree in Computer Science, Information Technology, Engineering and several years of experience working with modern data platforms, cloud architectures, or data and AI solutions.or equivalent practical experience. Hands on experience with Microsoft Fabric, including data engineering, analytics, data integration, or AI related workloads. Experience designing or implementing scalable data architectures across relational, NoSQL, distributed, or vector databases. Experience working in a customer facing technical, architecture, consulting, or engineering role. Preferred qualifications: Understanding of modern AI workloads and how data platforms enable generative AI, intelligent applications, and agentic experiences. Experience working with software companies, Digital Natives, or high growth startups is preferred. Strong communication skills with the ability to engage data leaders, architects, CTOs, founders, and senior engineering stakeholders. Passion for Data and AI and for helping innovative software companies transform their products and platforms through cloud technology. Cloud Solution Architecture IC5 - The typical base pay range for this role across United Kingdom is £ 79,700.00 - £ 133,900.00 per year. Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/v2/global/en/corporate-pay/united-kingdom-corporate-pay.html This position will be open for a minimum of 5 days, with applications accepted on an ongoing basis until the position is filled. Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance with religious accommodations and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",low match
NielsenIQ,Data Scientist,UK,https://www.adzuna.co.uk/jobs/details/5894315084?utm_medium=api&utm_source=dc96cb17,adzuna-api,2026-09-22,2026-09-23,"Job Description As a Data Scientist, you will play a key role in developing and delivering data science solutions that turn complex data into actionable insights and measurable business value. You will work across the full data science lifecycle, from understanding business problems and exploring data through to developing, validating, deploying and monitoring models in production. We are looking for someone with 3–5 years of commercial data science experience, combining strong analytical and m…",top match
Noir,Forward Deployed Engineer,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5893822151?se=7lLR5j238RGf_djUbW4fNA&utm_medium=api&utm_source=dc96cb17&v=1B31DA8A399D21A62186DA272B3CF99A1736906E,adzuna-api,2026-09-22,2026-09-23,"Forward Deployed Engineer - AI & Digital Innovation - Financial Services - London / Hybrid (Tech stack: Forward Deployed Engineer, AI, Agentic AI, LLMs, LLM Integration, AI Agents, Retrieval, Tool Use, Context Orchestration, Evaluations, Guardrails, Observability, Human-in-the-Loop, Automation, Cloud, Data Management, System Integration, Forward Deployed Engineer) Are you a hands-on AI Engineer, Forward Deployed Engineer or technology specialist who enjoys solving real business problems rather …",top match
NSD,AI Engineer - SC Cleared,"Newcastle Upon Tyne, Tyne & Wear",https://www.adzuna.co.uk/jobs/land/ad/5893699747?se=6IcQ4j238RGC4YytmZ486A&utm_medium=api&utm_source=dc96cb17&v=0D8B0927EF42604E44AFC2B6C88B37595ABFEE6F,adzuna-api,2026-09-22,2026-09-23,"- Newcastle - on-site role, expensed wider travel required
- Up to £105,000 DoE + package
- Active SC or DV Clearance required
- 2-stage virtual interview process
- Experience required in AI/ML, LLMs, Python, Customer Consultancy
We're supporting a fast-growing, high-performing technical consultancy specialising in AI, data and software solutions across Defence and financial services. The business brings together high-calibre technical talent to solve complex problems in demanding environments. Headquartered in Newcastle, they are building a growing team of engineers working on cutting-edge technology for secure sector customers.
The Role
As an AI Engineer, you'll work across Defence projects ranging from early-stage research and POCs through to fully engineered AI solutions. Projects can span AI safety and security, edge AI, explainability, robustness in contested environments, agentic AI, LLMs/RAG and multi-modal AI, alongside novel machine learning approaches. This is a hands-on opportunity with exposure across the AI engineering stack and working on technically challenging, real-world problems.
Responsibilities

- Deliver AI solutions from POCs through to production
- Apply ML/AI techniques to complex Defence challenges
- Provide technical expertise across projects and client engagements
- Develop robust, maintainable software using strong engineering practices
- Work across LLMs/RAG, agentic AI, multi-modal AI, edge AI, explainability and AI robustness
- Collaborate with engineers and share technical knowledge
Experience Required

- Strong understanding of AI/ML fundamentals and underlying algorithms
- Experience in one or more areas including LLMs/RAG, agentic AI, multi-modal AI, edge AI, AI safety, explainability or ML research
- Strong Python skills and solid software engineering fundamentals
- Strong communication and collaborative skills
- Comfortable working with ambiguity while remaining outcome-focused
- 1st or 2:1 degree in Computer Science, Mathematics, Machine Learning or related discipline
- Defence/Secure Sector experience advantageous
What's on Offer

- Salary up to £105,000 DoE + discretionary bonus
- Exposure across research, POCs and production AI systems
- Develop skills across the full AI engineering stack
- Learn from experienced AI and software engineers
- Collaborative, low-ego engineering environment
- 25 days holiday + bank holidays
- Up to 6% matched pension
- Private healthcare
To be Considered:
Please either apply through this advert or email me directly via . For further information, please call me on 07719 065951. By applying for this role, you give express consent for us to process and submit (subject to required skills) your application to our client in conjunction with this vacancy only.",top match
Sirius Analysis Limited,Senior Data Scientist,UK,https://www.adzuna.co.uk/jobs/land/ad/5893792371?se=pHO25D238RGf_djUbW4fNA&utm_medium=api&utm_source=dc96cb17&v=943BECBF0F92FBE67366FAFA07825049BCC9C9EA,adzuna-api,2026-09-22,2026-09-23,"Role: Senior Data Scientist Salary: from £60000 Location: Portsmouth ( hybrid, 3 days onsite) Intro Sirius Analysis, we are a rapidly growing consultancy firm, renowned for our reputation and our keen ability to understand and meet customer requirements effectively. Our team is dedicated to delivering high-quality, end-to-end consultancy services, ranging from operational research and data analysis to",top match
Writer,AI engineer (UK),"London, UK",https://jobs.ashbyhq.com/writer/3abccd89-0f59-4009-93ea-7c85b533caf0,ashby-api,2026-09-22,2026-09-23,"🚀 About WRITER

WRITER is where the world's leading enterprises orchestrate AI-powered work. Our vision is to expand human capacity through superintelligence. And we're proving it's possible – through powerful, trustworthy AI that unites IT and business teams together to unlock enterprise-wide transformation. With WRITER's end-to-end platform, hundreds of companies like Mars, Marriott, Uber, and Vanguard are building and deploying AI agents that are grounded in their company's data and fueled by WRITER's enterprise-grade LLMs. Valued at $1.9B and backed by industry-leading investors including Premji Invest, Radical Ventures, and ICONIQ Growth, WRITER is rapidly cementing its position as the leader in enterprise generative AI.

Founded in 2020 with office hubs in San Francisco, New York City, Seattle, Austin, Chicago, and London, our team thinks big and moves fast, and we're looking for smart, hardworking builders and scalers to join us on our journey to create a better future of work with AI.

📐 About the role

As an AI engineer at WRITER, you'll be at the forefront of shaping how enterprises harness superintelligence. This isn't just about theory; you'll be building tangible AI solutions that power the future of work for hundreds of the world's leading companies. Your work will directly impact the performance, scalability, and ethical alignment of our cutting-edge LLMs and AI agents, enabling businesses to unlock unprecedented levels of productivity and innovation with AI that is truly grounded in their data.

This role can be hybrid in our London hub. You'll report to the head of AI engineering.

🦸🏻‍♀️ What you'll do

- Architect, develop, and deploy high-performance, scalable AI applications into production environments, ensuring robust integrations with our end-to-end platform.

- Drive the development of intelligent agents and AI-powered features, translating complex research into practical, impactful solutions for our customers.

- Collaborate closely with research scientists, data scientists, and product managers to define technical requirements and deliver features that address critical business needs.

- Contribute to the research and evaluation of emerging AI technologies, frameworks, and tools to maintain WRITER's leadership in the enterprise generative AI space.

- Champion responsible AI practices, including bias detection, explainability, and safety alignment, making sure our AI is trustworthy and ethical.

⭐️ What you need

- 5+ years of professional experience building and deploying machine learning or AI systems in a production environment.

- Proficiency in Python and experience with relevant AI/ML frameworks such as PyTorch, TensorFlow, or JAX.

- A strong foundation in machine learning principles, deep learning architectures, and natural language processing, particularly with large language models.

- Experience with cloud platforms (e.g., AWS, GCP, Azure) and MLOps tools for managing the AI lifecycle.

- Demonstrated ability to write clean, efficient, and well-tested code for scalable software systems.

- Exceptional problem-solving skills and a passion for tackling complex technical challenges with creative AI solutions.

- You Connect by collaborating seamlessly across diverse teams, Challenge the status quo to innovate, and Own your projects with a commitment to impact and excellence.

🍩 Benefits & perks (UK full-time employees):

- Generous PTO, plus company holidays

- Comprehensive medical and dental insurance

- Paid parental leave for all parents (16 weeks)

- Fertility and family planning support

- Early-detection cancer testing through Galleri https://www.galleri.com/partner/writer

- Competitive pension scheme and company contribution

- Annual work-life stipends for:

- Wellness stipend for gym, massage/chiropractor, personal training, etc.

- Learning and development stipend

- Company-wide off-sites and team off-sites

- Competitive compensation and company stock options",medium match
Writer,"Software engineer, agents (UK)","London, UK",https://jobs.ashbyhq.com/writer/b4545b48-9648-44c4-b2f0-96f027e9a4ba,ashby-api,2026-09-22,2026-09-23,"🚀 About WRITER

WRITER is where the world's leading enterprises orchestrate AI-powered work. Our vision is to expand human capacity through superintelligence. And we're proving it's possible – through powerful, trustworthy AI that unites IT and business teams together to unlock enterprise-wide transformation. With WRITER's end-to-end platform, hundreds of companies like Mars, Marriott, Uber, and Vanguard are building and deploying AI agents that are grounded in their company's data and fueled by WRITER's enterprise-grade LLMs. Valued at $1.9B and backed by industry-leading investors including Premji Invest, Radical Ventures, and ICONIQ Growth, WRITER is rapidly cementing its position as the leader in enterprise generative AI.

Founded in 2020 with office hubs in San Francisco, New York City, Seattle, Austin, Chicago, and London, our team thinks big and moves fast, and we're looking for smart, hardworking builders and scalers to join us on our journey to create a better future of work with AI.

📐 About the role
We’re seeking a highly skilled fullstack software engineer to join our engineering team building advanced AI-driven agent systems that execute autonomous workflows, orchestrate multi-step tasks, and extend human capacity across enterprise applications. In this role, you’ll play a key part in designing, building, and scaling next-generation AI agents that integrate with enterprise data and services to solve real-world problems. You will collaborate with cross-functional teams to turn complex agent concepts into production-ready systems.

🦸🏻‍♀️ What you'll do

- Design, implement, and maintain scalable, secure agent-driven services and systems that autonomously accomplish tasks using modern AI frameworks.

- Develop and enhance robust infrastructure and high-throughput APIs, focusing on core agent capabilities such as memory, communication channels, skills, intelligent decision logic, security and workflow management.

- Integrate agent capabilities with backend services, data stores, vector databases, search/retrieval systems, and external APIs.

- Collaborate with product managers, AI researchers, data engineers, and UX teams to translate high-level agent use cases into robust, production-ready software.

- Ensure reliability, monitoring, and observability for all agent components (metrics, logging, CI/CD, fault tolerance).

- Contribute to architectural design decisions and participate in rigorous code reviews to uphold quality and maintainability.

⭐️ What you need

- 3+ years of professional software engineering experience with strong proficiency (3+ years) in Python in production environments

- Proficiency in native agentic coding, demonstrated through the daily use of tools like Cursor, Claude Code, and other agentic coding platforms.

- Demonstrated experience building distributed systems, microservices, or complex backend APIs that support AI/agent workflows.

- Solid expertise with systems that integrate AI models, agent frameworks (e.g., LangGraph, Agent Harness or platform-specific tooling), vector databases, and large context reasoning services.

- Understanding of agent orchestration patterns, state management, and asynchronous workflows.

- Experience with cloud platforms (e.g., AWS, GCP, Azure), containerization (Docker, Kubernetes), and operational engineering best practices.

- Good grasp of performance optimization, testing frameworks, and CI/CD pipelines.

- Excellent communication and collaboration skills, with a “connect + challenge + own” mindset.

- Past work on AI agents that coordinate multi-step actions, reasoning, or autonomous decision-making loops.

- Contributions to open-source agent toolkits or SDKs.

- Experience with frontend technologies (React, TypeScript) for tooling around agent management interfaces.

🍩 Benefits & perks (UK full-time employees):

- Generous PTO, plus company holidays

- Comprehensive medical and dental insurance

- Paid parental leave for all parents (16 weeks)

- Fertility and family planning support

- Early-detection cancer testing through Galleri https://www.galleri.com/partner/writer

- Competitive pension scheme and company contribution

- Annual work-life stipends for:

- Wellness stipend for gym, massage/chiropractor, personal training, etc.

- Learning and development stipend

- Company-wide off-sites and team off-sites

- Competitive compensation and company stock options",top match
